Type,Month,Year,Area,Sales,Dollar Volume,Average Price,Median Price,New Listings,SNLR Trend,Active Listings,Mos Inv (Trend),Avg. SP/LP,Avg. LDOM,Avg. PDOM
All Home Types,1,2025,All TRREB Areas,"3,847","$4,004,704,491 ","$1,040,994 ","$910,000 ","12,392",39.50%,"17,157",3.5,99%,37,55
All Home Types,1,2025,Halton Region,440,"$510,950,143 ","$1,161,250 ","$1,050,000 ","1,368",41.80%,"1,754",3.2,97%,38,54
All Home Types,1,2025,Burlington,139,"$154,068,900 ","$1,108,409 ","$990,000 ",359,48.50%,474,2.8,97%,43,61
All Home Types,1,2025,Halton Hills,47,"$49,752,100 ","$1,058,555 ","$1,000,000 ",81,47.30%,102,2.7,98%,43,54
All Home Types,1,2025,Milton,116,"$120,479,859 ","$1,038,619 ","$964,250 ",322,42.50%,374,2.7,97%,33,44
All Home Types,1,2025,Oakville,138,"$186,649,284 ","$1,352,531 ","$1,244,250 ",606,35.50%,804,4,97%,35,55
All Home Types,1,2025,Peel Region,749,"$774,555,887 ","$1,034,120 ","$930,000 ","2,409",37.40%,"3,212",3.6,98%,37,54
All Home Types,1,2025,Brampton,355,"$349,788,990 ","$985,321 ","$926,000 ","1,138",36.00%,"1,393",3.5,99%,31,48
All Home Types,1,2025,Caledon,48,"$62,496,180 ","$1,302,004 ","$1,097,500 ",181,34.30%,285,4.8,94%,47,61
All Home Types,1,2025,Mississauga,346,"$362,270,717 ","$1,047,025 ","$912,850 ","1,090",39.40%,"1,534",3.5,97%,41,59
All Home Types,1,2025,City of Toronto,"1,386","$1,366,114,537 ","$985,653 ","$800,000 ","4,737",38.00%,"6,920",3.9,99%,39,57
All Home Types,1,2025,Toronto West,378,"$356,187,822 ","$942,296 ","$852,500 ","1,087",41.70%,"1,618",3.4,99%,40,54
All Home Types,1,2025,Toronto Central,645,"$672,437,508 ","$1,042,539 ","$725,000 ","2,725",33.20%,"4,143",5,98%,41,63
All Home Types,1,2025,Toronto East,363,"$337,489,207 ","$929,722 ","$895,000 ",925,45.80%,"1,159",2.6,102%,35,50
All Home Types,1,2025,York Region,620,"$754,033,682 ","$1,216,183 ","$1,150,000 ","2,168",39.40%,"3,094",3.6,99%,37,54
All Home Types,1,2025,Aurora,26,"$39,030,500 ","$1,501,173 ","$1,235,000 ",95,42.40%,146,3,99%,29,36
All Home Types,1,2025,East Gwillimbury,23,"$31,116,210 ","$1,352,879 ","$1,290,000 ",98,38.10%,129,3.7,97%,40,68
All Home Types,1,2025,Georgina,42,"$39,454,008 ","$939,381 ","$818,554 ",151,35.70%,223,4.5,98%,43,63
All Home Types,1,2025,King,10,"$18,631,500 ","$1,863,150 ","$2,105,000 ",55,29.40%,132,7.1,94%,59,102
All Home Types,1,2025,Markham,173,"$211,033,065 ","$1,219,844 ","$1,200,000 ",512,43.00%,666,3.1,100%,34,51
All Home Types,1,2025,Newmarket,35,"$37,093,500 ","$1,059,814 ","$1,032,500 ",143,44.60%,195,2.8,100%,33,47
All Home Types,1,2025,Richmond Hill,114,"$150,482,088 ","$1,320,018 ","$1,282,500 ",435,36.00%,614,4.2,100%,38,51
All Home Types,1,2025,Vaughan,161,"$178,770,858 ","$1,110,378 ","$1,075,000 ",591,38.60%,825,3.7,98%,38,54
All Home Types,1,2025,Stouffville,36,"$48,421,953 ","$1,345,054 ","$1,118,500 ",88,41.00%,164,3.9,96%,45,65
All Home Types,1,2025,Durham Region,489,"$438,442,855 ","$896,611 ","$835,000 ","1,213",46.70%,"1,419",2.3,100%,30,45
All Home Types,1,2025,Ajax,68,"$62,222,399 ","$915,035 ","$859,500 ",155,48.60%,164,2.1,101%,28,35
All Home Types,1,2025,Brock,9,"$5,854,000 ","$650,444 ","$659,000 ",24,38.90%,41,5,99%,25,38
All Home Types,1,2025,Clarington,62,"$52,871,426 ","$852,765 ","$820,000 ",186,49.80%,216,2.1,100%,27,44
All Home Types,1,2025,Oshawa,158,"$123,219,200 ","$779,868 ","$760,000 ",364,45.80%,406,2.3,101%,27,42
All Home Types,1,2025,Pickering,80,"$76,026,150 ","$950,327 ","$885,000 ",198,44.10%,234,2.6,100%,29,47
All Home Types,1,2025,Scugog,13,"$12,947,000 ","$995,923 ","$800,000 ",43,45.80%,59,3.1,98%,58,77
All Home Types,1,2025,Uxbridge,11,"$15,017,900 ","$1,365,264 ","$1,355,000 ",42,42.40%,64,3.9,94%,40,56
All Home Types,1,2025,Whitby,88,"$90,284,780 ","$1,025,963 ","$940,000 ",201,48.10%,235,2,100%,33,53
All Home Types,1,2025,Dufferin County,36,"$32,751,800 ","$909,772 ","$842,650 ",65,45.60%,86,3,97%,44,66
All Home Types,1,2025,Orangeville,36,"$32,751,800 ","$909,772 ","$842,650 ",65,45.60%,86,3,97%,44,66
All Home Types,1,2025,Simcoe County,127,"$127,855,588 ","$1,006,737 ","$890,000 ",432,35.40%,672,4.5,97%,45,71
All Home Types,1,2025,Adjala-Tosorontio,10,"$12,347,500 ","$1,234,750 ","$1,320,000 ",28,30.00%,61,6.4,98%,59,76
All Home Types,1,2025,Bradford,23,"$31,772,778 ","$1,381,425 ","$1,120,000 ",77,39.00%,96,3.5,96%,34,64
All Home Types,1,2025,Essa,14,"$10,610,500 ","$757,893 ","$735,750 ",48,37.20%,71,4,97%,38,66
All Home Types,1,2025,Innisfil,38,"$34,517,485 ","$908,355 ","$846,500 ",176,29.70%,293,5.7,97%,52,86
All Home Types,1,2025,New Tecumseth,42,"$38,607,325 ","$919,222 ","$852,500 ",103,42.60%,151,3.7,98%,43,61
All Home Types,1,2025,All TRREB Areas,"3,847","$4,004,704,491 ","$1,040,994 ","$910,000 ","12,392",39.50%,"17,157",3.5,99%,37,55
All Home Types,1,2025,City of Toronto,"1,386","$1,366,114,537 ","$985,653 ","$800,000 ","4,737",38.00%,"6,920",3.9,99%,39,57
All Home Types,1,2025,Toronto West,378,"$356,187,822 ","$942,296 ","$852,500 ","1,087",41.70%,"1,618",3.4,99%,40,54
All Home Types,1,2025,Toronto W01,28,"$33,412,000 ","$1,193,286 ","$1,011,000 ",76,40.60%,107,3.3,100%,30,47
All Home Types,1,2025,Toronto W02,34,"$41,067,225 ","$1,207,860 ","$1,050,000 ",90,48.50%,123,2.2,104%,30,40
All Home Types,1,2025,Toronto W03,24,"$22,885,022 ","$953,543 ","$969,500 ",65,47.10%,99,2.7,101%,33,39
All Home Types,1,2025,Toronto W04,42,"$37,301,234 ","$888,125 ","$897,000 ",133,38.80%,194,4,99%,43,59
All Home Types,1,2025,Toronto W05,55,"$44,296,000 ","$805,382 ","$815,000 ",134,40.70%,230,4,97%,53,65
All Home Types,1,2025,Toronto W06,62,"$53,096,999 ","$856,403 ","$787,500 ",191,36.70%,284,4.1,98%,42,62
All Home Types,1,2025,Toronto W07,10,"$9,959,990 ","$995,999 ","$822,500 ",35,38.90%,64,3.4,97%,44,50
All Home Types,1,2025,Toronto W08,74,"$70,799,502 ","$956,750 ","$697,500 ",241,42.30%,334,3.3,98%,38,50
All Home Types,1,2025,Toronto W09,23,"$23,588,850 ","$1,025,602 ","$1,010,000 ",41,49.40%,67,2.8,99%,42,56
All Home Types,1,2025,Toronto W10,26,"$19,781,000 ","$760,808 ","$718,750 ",81,42.20%,116,3.2,98%,30,49
All Home Types,1,2025,Toronto Central,645,"$672,437,508 ","$1,042,539 ","$725,000 ","2,725",33.20%,"4,143",5,98%,41,63
All Home Types,1,2025,Toronto C01,190,"$162,601,406 ","$855,797 ","$680,000 ",845,30.80%,"1,282",5.6,98%,42,64
All Home Types,1,2025,Toronto C02,37,"$62,568,327 ","$1,691,036 ","$1,318,889 ",163,32.30%,252,5.3,99%,43,63
All Home Types,1,2025,Toronto C03,30,"$46,360,629 ","$1,545,354 ","$1,215,000 ",95,40.80%,124,3.6,100%,29,54
All Home Types,1,2025,Toronto C04,25,"$42,021,026 ","$1,680,841 ","$1,680,000 ",96,43.00%,137,3.3,98%,40,59
All Home Types,1,2025,Toronto C06,26,"$28,004,000 ","$1,077,077 ","$660,500 ",56,34.80%,84,4.5,100%,33,54
All Home Types,1,2025,Toronto C07,40,"$42,501,388 ","$1,062,535 ","$747,500 ",155,36.20%,237,4.4,97%,45,74
All Home Types,1,2025,Toronto C08,79,"$57,355,504 ","$726,019 ","$651,000 ",509,26.90%,778,6.5,98%,44,74
All Home Types,1,2025,Toronto C09,13,"$36,161,500 ","$2,781,654 ","$1,630,000 ",41,42.00%,61,3.5,100%,27,45
All Home Types,1,2025,Toronto C10,33,"$28,341,275 ","$858,827 ","$640,000 ",105,37.60%,151,3.9,98%,42,66
All Home Types,1,2025,Toronto C11,12,"$11,994,500 ","$999,542 ","$551,000 ",66,41.70%,92,3.4,98%,47,60
All Home Types,1,2025,Toronto C12,9,"$20,462,800 ","$2,273,644 ","$2,457,000 ",64,26.70%,127,8.4,90%,60,79
All Home Types,1,2025,Toronto C13,27,"$33,652,500 ","$1,246,389 ","$1,078,000 ",104,37.20%,172,4.1,99%,32,45
All Home Types,1,2025,Toronto C14,59,"$49,026,903 ","$830,964 ","$676,000 ",194,34.30%,312,4.9,98%,42,61
All Home Types,1,2025,Toronto C15,65,"$51,385,750 ","$790,550 ","$648,000 ",232,36.60%,334,4.1,98%,40,61
All Home Types,1,2025,Toronto East,363,"$337,489,207 ","$929,722 ","$895,000 ",925,45.80%,"1,159",2.6,102%,35,50
All Home Types,1,2025,Toronto E01,32,"$35,693,287 ","$1,115,415 ","$1,088,750 ",102,46.90%,102,2,105%,18,29
All Home Types,1,2025,Toronto E02,22,"$30,094,279 ","$1,367,922 ","$1,162,645 ",64,50.90%,61,1.9,105%,29,49
All Home Types,1,2025,Toronto E03,42,"$48,051,800 ","$1,144,090 ","$1,142,000 ",83,52.80%,83,1.8,104%,27,40
All Home Types,1,2025,Toronto E04,42,"$33,322,750 ","$793,399 ","$885,000 ",101,45.20%,140,2.6,100%,32,49
All Home Types,1,2025,Toronto E05,38,"$32,730,076 ","$861,318 ","$677,500 ",93,47.30%,139,2.8,103%,38,50
All Home Types,1,2025,Toronto E06,15,"$14,071,000 ","$938,067 ","$850,000 ",62,41.50%,73,3,106%,23,37
All Home Types,1,2025,Toronto E07,33,"$26,321,400 ","$797,618 ","$629,000 ",86,45.40%,112,3,99%,39,61
All Home Types,1,2025,Toronto E08,30,"$29,852,225 ","$995,074 ","$915,000 ",74,40.60%,112,3.4,95%,50,65
All Home Types,1,2025,Toronto E09,46,"$35,043,890 ","$761,824 ","$715,000 ",122,41.70%,147,3,102%,43,59
All Home Types,1,2025,Toronto E10,21,"$20,170,000 ","$960,476 ","$975,000 ",73,46.40%,86,2.6,104%,23,30
All Home Types,1,2025,Toronto E11,42,"$32,138,500 ","$765,202 ","$740,000 ",65,43.40%,104,3,99%,46,66
All Home Types,2,2025,All TRREB Areas,"4,037","$4,378,315,545 ","$1,084,547 ","$923,000 ","12,066",38.40%,"19,536",3.8,99%,28,43
All Home Types,2,2025,Halton Region,397,"$473,040,919 ","$1,191,539 ","$1,030,000 ","1,272",40.20%,"2,060",3.4,98%,24,37
All Home Types,2,2025,Burlington,122,"$126,611,305 ","$1,037,798 ","$970,000 ",341,46.90%,559,3,98%,24,37
All Home Types,2,2025,Halton Hills,35,"$36,644,400 ","$1,046,983 ","$935,000 ",102,45.60%,119,2.8,98%,15,30
All Home Types,2,2025,Milton,97,"$94,666,070 ","$975,939 ","$930,000 ",291,40.90%,434,3,100%,23,33
All Home Types,2,2025,Oakville,143,"$215,119,144 ","$1,504,330 ","$1,260,000 ",535,34.30%,945,4.3,97%,27,41
All Home Types,2,2025,Peel Region,649,"$672,223,536 ","$1,035,784 ","$917,000 ","2,209",36.10%,"3,610",3.9,98%,28,45
All Home Types,2,2025,Brampton,266,"$258,601,192 ","$972,185 ","$901,000 ",987,34.40%,"1,598",3.8,98%,28,47
All Home Types,2,2025,Caledon,50,"$67,318,651 ","$1,346,373 ","$1,131,515 ",173,33.20%,317,5.1,95%,27,40
All Home Types,2,2025,Mississauga,333,"$346,303,693 ","$1,039,951 ","$895,000 ","1,049",38.20%,"1,695",3.8,98%,28,44
All Home Types,2,2025,City of Toronto,"1,540","$1,674,098,816 ","$1,087,077 ","$842,500 ","4,641",37.10%,"7,809",4.1,100%,30,45
All Home Types,2,2025,Toronto West,406,"$406,620,177 ","$1,001,528 ","$843,950 ","1,113",40.70%,"1,803",3.6,101%,33,48
All Home Types,2,2025,Toronto Central,775,"$895,489,078 ","$1,155,470 ","$760,000 ","2,574",32.60%,"4,668",5.2,98%,32,49
All Home Types,2,2025,Toronto East,359,"$371,989,561 ","$1,036,183 ","$999,000 ",954,44.50%,"1,338",2.8,104%,22,34
All Home Types,2,2025,York Region,737,"$917,628,721 ","$1,245,086 ","$1,183,000 ","2,274",38.20%,"3,647",3.9,100%,28,42
All Home Types,2,2025,Aurora,31,"$35,582,019 ","$1,147,807 ","$1,070,000 ",110,40.60%,186,3.3,101%,26,39
All Home Types,2,2025,East Gwillimbury,43,"$54,922,987 ","$1,277,279 ","$1,188,000 ",103,38.40%,139,3.7,98%,24,36
All Home Types,2,2025,Georgina,54,"$42,639,730 ","$789,625 ","$720,000 ",125,35.30%,216,4.6,97%,34,49
All Home Types,2,2025,King,18,"$49,362,000 ","$2,742,333 ","$1,817,500 ",58,29.10%,139,7.4,92%,61,80
All Home Types,2,2025,Markham,175,"$211,996,529 ","$1,211,409 ","$1,215,000 ",551,41.40%,827,3.3,102%,27,39
All Home Types,2,2025,Newmarket,63,"$74,681,884 ","$1,185,427 ","$1,154,500 ",146,43.80%,218,3,100%,28,40
All Home Types,2,2025,Richmond Hill,126,"$167,526,303 ","$1,329,574 ","$1,210,600 ",437,34.70%,742,4.5,100%,31,48
